"creation_date","entity_id","position","impacto","morada","motivo","periodos_condicionamentos","restricao_circulacao","periodos_condicionamentos['date_max']"
"2024-07-16T14:06:06.000Z","EMEL.condicionamentoTransito.COND-2023-7235-PA-8","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.155936736,38.726067361],[-9.155247408,38.725309867],[-9.155338603,38.725261738],[-9.155448574,38.725326607],[-9.156025249,38.726015048],[-9.157006937,38.725466807],[-9.157087404,38.725485639],[-9.157331485,38.72572628],[-9.158309895,38.726691392],[-9.158229429,38.726603507],[-9.157912928,38.726787647],[-9.158240158,38.726599322],[-9.158894617,38.727377728],[-9.157784182,38.727951064],[-9.158894617,38.727369358],[-9.159565169,38.728089166],[-9.158422548,38.728704345],[-9.158347446,38.728629017],[-9.159500796,38.728013838],[-9.15991922,38.728507656],[-9.158899981,38.729223268],[-9.157521326,38.727691598],[-9.156904417,38.727022006],[-9.156019288,38.72602179],[-9.157118994,38.727235439],[-9.158899981,38.729224065],[-9.158304531,38.729667657],[-9.157902199,38.729939669],[-9.157360393,38.729291022],[-9.158272344,38.72878047],[-9.158781964,38.729316131],[-9.158288437,38.72878047],[-9.158224064,38.728696772],[-9.157312113,38.729198955],[-9.157365757,38.729303576],[-9.15729602,38.729198955],[-9.157059986,38.728968789],[-9.156861502,38.728805579],[-9.156668383,38.728550302],[-9.157623249,38.728048114],[-9.1582187,38.728705142],[-9.157628614,38.728048114],[-9.157580334,38.727956046],[-9.156582552,38.728470789],[-9.156657654,38.728554486],[-9.154962498,38.726587564],[-9.15593614,38.727719597],[-9.156866867,38.727194387],[-9.157569605,38.727951861],[-9.156915146,38.727294826],[-9.156866867,38.727240421],[-9.155997831,38.72773006],[-9.156866867,38.727252976],[-9.155949551,38.726127213],[-9.154973227,38.726608489],[-9.155949551,38.726131398],[-9.155936736,38.726067361]]],""type"":""MultiLineString""}]}","Relevante","R.Marquês da Fronteira-R.Artil.Um-R.Rod.da Fonseca-Rua Castilho-R.D.Franc.M.Melo-R.Padre A.Vieira-e outras 2","OBRAS NO SUBSOLO - FAIXA DE RODAGEM","[{""end_date"":""1734717600000"",""date_min"":""2024-07-17"",""hour_max"":""18:00:00"",""date_max"":""2024-12-20"",""start_date"":""1721199600000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-12-20""]"
"2024-10-04T11:00:10.000Z","EMEL.condicionamentoTransito.COND-2024-1049-PA-20","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.141330133,38.716800559],[-9.141555439,38.716649878]]],""type"":""MultiLineString""}]}","Relevante","Rua dos Condes,9-27","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1730392200000"",""date_min"":""2024-10-18"",""hour_max"":""16:30:00"",""date_max"":""2024-10-31"",""start_date"":""1729242000000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-10-31""]"
"2024-10-01T15:22:49.000Z","EMEL.condicionamentoTransito.COND-2024-5020-2","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.144611824,38.733966506],[-9.144583661,38.733782385],[-9.144613165,38.733652663],[-9.144680221,38.733542818]]],""type"":""MultiLineString""}]}","Relevante"," Praça Duque de Saldanha","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1730478600000"",""date_min"":""2024-10-07"",""hour_max"":""16:30:00"",""date_max"":""2024-11-01"",""start_date"":""1728291600000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-01""]"
"2024-10-08T12:39:13.000Z","EMEL.condicionamentoTransito.COND-2024-6050-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.197162912,38.703706153],[-9.197115302,38.703705107]]],""type"":""MultiLineString""}]}","Pouco relevante","Rua Cabo Floriano de Morais, 3","MUDANÇAS","[{""end_date"":""1731700800000"",""date_min"":""2024-11-04"",""hour_max"":""20:00:00"",""date_max"":""2024-11-15"",""start_date"":""1730707200000"",""hour_min"":""08:00:00""}]","Estacionamento","[""2024-11-15""]"
"2024-10-15T22:32:35.000Z","EMEL.condicionamentoTransito.COND-2022-1669-PA-69","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.148558228,38.728241066],[-9.148635006,38.728324241],[-9.148332252,38.728553887],[-9.148280284,38.728485359],[-9.14856091,38.728236881]]],""type"":""MultiLineString""}]}","Relevante","Avenida António Augusto de Aguiar, nº 2/Rua de S. Sebastião da Pedreira, 1","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1732725000000"",""date_min"":""2024-11-14"",""hour_max"":""16:30:00"",""date_max"":""2024-11-27"",""start_date"":""1731578400000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-27""]"
"2024-10-11T09:44:19.000Z","EMEL.condicionamentoTransito.COND-2023-2032-PA-39","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.14528348,38.7175432],[-9.145405521,38.717632143],[-9.145742138,38.71732346],[-9.145507445,38.717149759],[-9.14538004,38.717205218]]],""type"":""MultiLineString""}]}","Relevante","Praça da Alegria, 21-23 e Rua da Conceição da \nGlória, 42-48 - Rua de Santo António da Glória,78","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1731688200000"",""date_min"":""2024-11-04"",""hour_max"":""16:30:00"",""date_max"":""2024-11-15"",""start_date"":""1730714400000"",""hour_min"":""10:00:00""}]","Estacionamento","[""2024-11-15""]"
"2024-10-10T08:35:50.000Z","EMEL.condicionamentoTransito.COND-2024-5104-PA-5","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.168232966,38.703818888],[-9.168232296,38.703921976],[-9.168180663,38.703979015],[-9.168194745,38.703845053],[-9.168232966,38.703819935]]],""type"":""MultiLineString""}]}","Relevante","Avenida Infante Santo, 1-1F| Rua Tenente Valadim, 14","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1731515400000"",""date_min"":""2024-10-30"",""hour_max"":""16:30:00"",""date_max"":""2024-11-13"",""start_date"":""1730282400000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-13""]"
"2024-09-20T00:35:10.000Z","EMEL.condicionamentoTransito.COND-2024-2883-PA-11","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.14962986,38.714700229],[-9.149546712,38.714704938]]],""type"":""MultiLineString""}]}","Relevante","Rua da Palmeira,19","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1729697400000"",""date_min"":""2024-10-10"",""hour_max"":""16:30:00"",""date_max"":""2024-10-23"",""start_date"":""1728550800000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-10-23""]"
"2024-10-03T16:21:56.000Z","EMEL.condicionamentoTransito.COND-2024-5724-2","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.145413107,38.716690785],[-9.145378908,38.716677182]]],""type"":""MultiLineString""}]}","Relevante","Rua das Taipas, 39","DESMONTAGEM DE GRUA","[{""end_date"":""1729353600000"",""date_min"":""2024-10-19"",""hour_max"":""17:00:00"",""date_max"":""2024-10-19"",""start_date"":""1729321200000"",""hour_min"":""08:00:00""}]","Corte total","[""2024-10-19""]"
"2024-10-14T10:36:27.000Z","EMEL.condicionamentoTransito.COND-2023-1479-PA-36","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.099375557,38.757140388],[-9.099072468,38.75699659]]],""type"":""MultiLineString""}]}","Relevante","Rua dos Argonautas, 3.24.01{situado entre a Av. Fernando Pessoa e a  Rua Mário Botas, ao Pq. das Nações}","CARGAS E DESCARGAS/OBRAS","[{""end_date"":""1730737800000"",""date_min"":""2024-10-21"",""hour_max"":""16:30:00"",""date_max"":""2024-11-04"",""start_date"":""1729501200000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-04""]"
"2024-10-09T13:03:32.000Z","EMEL.condicionamentoTransito.COND-2024-4405-P-4","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.157727107,38.709879726],[-9.157753929,38.70989647]]],""type"":""MultiLineString""}]}","Relevante","Rua do Meio à Lapa,16","BETONAGENS","[{""end_date"":""1730305800000"",""date_min"":""2024-10-17"",""hour_max"":""16:30:00"",""date_max"":""2024-10-30"",""start_date"":""1729155600000"",""hour_min"":""10:00:00""}]","Cortes temporários","[""2024-10-30""]"
"2024-09-17T10:34:15.000Z","EMEL.condicionamentoTransito.COND-2024-5554-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.142694594,38.710502511],[-9.142667772,38.710496232]]],""type"":""MultiLineString""}]}","Relevante","LARGO DO CHIADO 15","LIGAÇÃO DE RAMAL - PASSEIO E ESTACION.","[{""end_date"":""1731088800000"",""date_min"":""2024-09-30"",""hour_max"":""18:00:00"",""date_max"":""2024-11-08"",""start_date"":""1727679600000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-11-08""]"
"2024-10-03T09:39:12.000Z","EMEL.condicionamentoTransito.COND-2023-5172-PA-39","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.143741979,38.732884177],[-9.144930197,38.732264849],[-9.144978477,38.732348542],[-9.143798305,38.732957408]]],""type"":""MultiLineString""}]}","Relevante","Rua Fernão Lopes","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1734541200000"",""date_min"":""2024-10-03"",""hour_max"":""17:00:00"",""date_max"":""2024-12-18"",""start_date"":""1727938800000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-12-18""]"
"2024-09-11T09:48:09.000Z","EMEL.condicionamentoTransito.COND-2024-5379-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.164105484,38.763313456],[-9.163743386,38.763434759],[-9.162925312,38.763643901],[-9.161970446,38.763890687],[-9.161771962,38.763930424],[-9.161484966,38.763947155],[-9.161211381,38.763939148],[-9.159910509,38.764238218],[-9.159403572,38.76436161],[-9.159285555,38.764386707],[-9.159065614,38.764244492],[-9.158977101,38.763991433]]],""type"":""MultiLineString""}]}","Relevante","RUA JOSÉ TRAVASSOS","OBRA - FAIXA DE RODAGEM","[{""end_date"":""1731693600000"",""date_min"":""2024-09-19"",""hour_max"":""18:00:00"",""date_max"":""2024-11-15"",""start_date"":""1726729200000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-11-15""]"
"2024-09-22T18:31:59.000Z","EMEL.condicionamentoTransito.COND-2024-5705-A-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.093933621,38.760225642],[-9.093933621,38.760269564]]],""type"":""MultiLineString""}]}","Relevante","Rua das Musas,48","MUDANÇAS","[{""end_date"":""1729263600000"",""date_min"":""2024-10-18"",""hour_max"":""16:00:00"",""date_max"":""2024-10-18"",""start_date"":""1729234800000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-10-18""]"
"2024-10-14T10:42:44.000Z","EMEL.condicionamentoTransito.COND-2023-2515-PA-34","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.098503177,38.756872883],[-9.098141079,38.757320487]]],""type"":""MultiLineString""}]}","Relevante","Rua Fernando Pessoa, Parcela 3.22 {Entre a Rua dos Argonautas, e a Rua da Jangada de Pedra,1}\n","BETONAGENS/CARGAS DESCARGAS","[{""end_date"":""1730737800000"",""date_min"":""2024-10-21"",""hour_max"":""16:30:00"",""date_max"":""2024-11-04"",""start_date"":""1729501200000"",""hour_min"":""10:00:00""}]","Estreitamento de via","[""2024-11-04""]"
"2024-01-16T11:54:42.000Z","EMEL.condicionamentoTransito.COND-2024-299-1","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.151050418,38.721978838],[-9.151033654,38.721960266]]],""type"":""MultiLineString""}]}","Relevante","24 Freguesias","PLANTAÇÃO / PODA DE ÁRVORES","[{""end_date"":""1735664400000"",""date_min"":""2024-01-17"",""hour_max"":""17:00:00"",""date_max"":""2024-12-31"",""start_date"":""1705478400000"",""hour_min"":""08:00:00""}]","Estreitamento de via","[""2024-12-31""]"
"2024-09-10T14:34:25.000Z","EMEL.condicionamentoTransito.COND-2024-5359-2","{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.139036782,38.710598433],[-9.138963021,38.710432042]]],""type"":""MultiLineString""}]}","Relevante","Rua do Crucifixo, Estação Baixa Chiado","CARGAS E DESCARGAS","[{""end_date"":""1728018000000"",""date_min"":""2024-10-01"",""hour_max"":""06:00:00"",""date_max"":""2024-10-04"",""start_date"":""1727740800000"",""hour_min"":""01:00:00""},{""end_date"":""1729227600000"",""date_min"":""2024-10-15"",""hour_max"":""06:00:00"",""date_max"":""2024-10-18"",""start_date"":""1728950400000"",""hour_min"":""01:00:00""},{""end_date"":""1729832400000"",""date_min"":""2024-10-22"",""hour_max"":""06:00:00"",""date_max"":""2024-10-25"",""start_date"":""1729555200000"",""hour_min"":""01:00:00""},{""end_date"":""1730440800000"",""date_min"":""2024-10-29"",""hour_max"":""06:00:00"",""date_max"":""2024-11-01"",""start_date"":""1730163600000"",""hour_min"":""01:00:00""},{""end_date"":""1731045600000"",""date_min"":""2024-11-05"",""hour_max"":""06:00:00"",""date_max"":""2024-11-08"",""start_date"":""1730768400000"",""hour_min"":""01:00:00""},{""end_date"":""1728622800000"",""date_min"":""2024-10-08"",""hour_max"":""06:00:00"",""date_max"":""2024-10-11"",""start_date"":""1728345600000"",""hour_min"":""01:00:00""}]","Cortes temporários","[""2024-10-04"",""2024-10-18"",""2024-10-25"",""2024-11-01"",""2024-11-08"",""2024-10-11""]"
